IEVE  T1       T2       T3      W      XM212   XM223
  936     0.327     0.381     0.292  7836.550  1451.302  5947.368
  937     0.541     0.450     0.008  1246.453  4801.686  3412.917
  938     0.532     0.393     0.075  4327.215  4009.111  3526.936
  939     0.656     0.219     0.125  5213.029  3426.836  2059.220
  940     0.368     0.262     0.370  8106.400   533.656  5454.511
  941     0.355     0.263     0.382  8186.787   386.931  5615.090
  942     0.661     0.031     0.307  4207.051  1271.983  1998.070
  943     0.357     0.538     0.105  5234.485  3659.283  5589.995
  944     0.394     0.397     0.209  6962.363  2438.764  5149.963
  945     0.620     0.056     0.324  5375.851  1072.780  2487.360
  946     0.429     0.520     0.051  3573.883  4295.454  4738.644
  947     0.471     0.419     0.110  5271.191  3600.053  4242.121
  948     0.590     0.321     0.089  4616.337  3854.918  2834.449
  949     0.246     0.533     0.221  7247.329  2298.088  6893.518
  950     0.498     0.284     0.218  6859.675  2325.059  3928.053
  951     0.491     0.474     0.036  2893.375  4480.061  4011.077
  952     0.336     0.448     0.215  7112.536  2357.640  5832.945
  953     0.435     0.222     0.343  7752.564   853.969  4666.806
  954     0.639     0.323     0.037  2881.810  4459.161  2256.115
  955     0.217     0.507     0.276  7832.768  1644.284  7237.376
  956     0.601     0.246     0.153  5813.359  3096.359  2704.375
  957     0.674     0.136     0.190  5740.095  2660.598  1842.690
  958     0.392     0.363     0.246  7349.349  2000.792  5178.727
  959     0.061     0.550     0.389  8560.557   310.769  9079.565
  960     0.190     0.504     0.306  8098.035  1288.493  7556.102
  961     0.336     0.281     0.382  8253.004   388.710  5831.810
  962     0.611     0.372     0.017  1823.576  4704.904  2587.096
  963     0.451     0.356     0.193  6690.185  2620.445  4475.623
  964     0.645     0.204     0.151  5625.394  3119.030  2190.847
  965     0.424     0.396     0.180  6559.543  2775.350  4800.666
  966     0.101     0.520     0.378  8589.220   434.234  8605.971
  967     0.620     0.131     0.249  6320.814  1965.784  2483.969
  968     0.344     0.371     0.284  7749.720  1543.764  5740.701
  969     0.368     0.363     0.269  7592.894  1720.365  5458.375
  970     0.196     0.456     0.348  8377.651   789.554  7490.600
  971     0.520     0.417     0.063  3951.888  4154.518  3666.751
  972     0.634     0.014     0.352  3044.503   741.628  2325.067
  973     0.027     0.572     0.401  8177.145   166.837  9479.514
  974     0.619     0.115     0.267  6274.250  1752.700  2500.870
  975     0.358     0.303     0.339  8034.020   905.606  5575.004
  976     0.647     0.170     0.183  5921.465  2742.519  2170.280
  977     0.493     0.282     0.225  6932.605  2246.816  3982.406
  978     0.639     0.202     0.159  5747.334  3022.134  2259.237
  979     0.454     0.437     0.110  5272.831  3607.281  4445.440
  980     0.597     0.280     0.123  5355.191  3445.196  2760.851
  981     0.200     0.570     0.229  7374.886  2194.138  7438.185
  982     0.477     0.483     0.041  3119.286  4421.769  4175.329
  983     0.501     0.435     0.064  3986.994  4146.610  3887.542
  984     0.479     0.330     0.191  6616.798  2642.839  4151.754
  985     0.434     0.475     0.091  4831.450  3827.221  4682.870
  986     0.466     0.358     0.176  6449.255  2817.647  4307.571
  987     0.388     0.263     0.349  7977.179   777.884  5226.389
  988     0.465     0.491     0.044  3263.714  4382.907  4315.954
  989     0.148     0.473     0.378  8584.113   434.933  8049.984
  990     0.610     0.268     0.122  5302.034  3459.854  2607.379
  991     0.445     0.295     0.260  7349.056  1829.293  4548.843
  992     0.668     0.146     0.186  5784.124  2704.820  1920.145
  993     0.293     0.344     0.363  8304.522   613.665  6342.505
  994     0.305     0.429     0.265  7653.987  1768.097  6198.986
  995     0.240     0.416     0.343  8296.565   847.270  6965.601
  996     0.101     0.522     0.376  8578.202   458.068  8604.498
  997     0.412     0.265     0.323  7795.494  1093.426  4939.583
  998     0.544     0.254     0.202  6562.369  2518.142  3376.897
  999     0.532     0.294     0.173  6277.620  2852.986  3517.525
 1000     0.299     0.527     0.174  6590.833  2844.961  6276.533
