IEVE  T1       T2       T3      W      XM212   XM223
  217     0.648     0.104     0.248  5964.527  1974.220  2154.982
  218     0.626     0.056     0.318  5344.691  1147.442  2413.371
  219     0.610     0.288     0.101  4887.805  3702.766  2601.972
  220     0.417     0.393     0.191  6709.597  2651.310  4881.853
  221     0.381     0.482     0.136  5882.692  3294.167  5299.346
  222     0.570     0.283     0.147  5813.688  3166.481  3075.381
  223     0.652     0.231     0.117  5095.451  3518.529  2109.127
  224     0.614     0.088     0.298  6061.010  1385.770  2551.905
  225     0.668     0.040     0.292  4572.729  1450.182  1920.757
  226     0.688     0.065     0.247  5167.259  1981.658  1684.532
  227     0.577     0.218     0.206  6471.165  2472.719  2996.950
  228     0.282     0.380     0.339  8204.953   904.609  6476.379
  229     0.496     0.393     0.111  5265.185  3589.660  3943.233
  230     0.634     0.085     0.281  5890.935  1580.415  2324.244
  231     0.665     0.059     0.276  5190.674  1645.984  1948.524
  232     0.375     0.404     0.221  7127.077  2293.398  5370.243
  233     0.217     0.435     0.347  8348.097   801.932  7236.750
  234     0.576     0.136     0.288  6704.906  1498.903  3005.324
  235     0.625     0.200     0.175  5974.473  2837.586  2422.006
  236     0.381     0.327     0.292  7725.789  1457.392  5307.048
  237     0.592     0.276     0.132  5512.382  3347.007  2811.560
  238     0.626     0.170     0.204  6182.838  2494.461  2408.470
  239     0.683     0.145     0.172  5584.207  2874.822  1738.370
  240     0.328     0.499     0.173  6545.457  2864.035  5926.972
  241     0.653     0.253     0.094  4624.585  3792.917  2095.275
  242     0.544     0.329     0.127  5531.720  3398.124  3384.552
  243     0.484     0.354     0.162  6211.273  2989.118  4092.784
  244     0.422     0.271     0.307  7695.768  1273.276  4822.121
  245     0.477     0.147     0.377  7400.798   456.191  4174.847
  246     0.269     0.505     0.226  7293.875  2234.338  6626.534
  247     0.438     0.442     0.120  5517.011  3482.639  4632.575
  248     0.319     0.374     0.306  7945.793  1283.880  6031.952
  249     0.337     0.329     0.334  8069.838   955.583  5826.988
  250     0.122     0.545     0.333  8319.118   968.093  8360.204
  251     0.333     0.330     0.337  8089.905   927.200  5867.869
  252     0.558     0.375     0.067  4030.101  4114.629  3211.086
  253     0.451     0.269     0.281  7462.284  1588.448  4483.714
  254     0.466     0.198     0.337  7571.056   928.574  4304.954
  255     0.245     0.377     0.379  8469.601   428.781  6915.164
  256     0.469     0.228     0.303  7488.497  1324.301  4266.910
  257     0.649     0.288     0.063  3819.751  4153.111  2146.213
  258     0.482     0.392     0.125  5577.587  3422.139  4110.250
  259     0.224     0.400     0.376  8490.598   461.730  7157.430
  260     0.465     0.154     0.381  7498.308   408.871  4309.402
  261     0.224     0.540     0.236  7433.164  2119.497  7158.492
  262     0.632     0.211     0.157  5755.067  3046.735  2344.068
  263     0.339     0.396     0.265  7606.811  1769.833  5801.592
  264     0.613     0.311     0.075  4227.236  4011.960  2562.119
  265     0.271     0.378     0.352  8294.678   749.142  6608.742
  266     0.397     0.291     0.312  7795.934  1222.388  5114.136
  267     0.400     0.452     0.148  6082.091  3155.865  5083.726
  268     0.175     0.532     0.293  8001.378  1446.790  7735.056
  269     0.679     0.072     0.249  5356.037  1964.716  1784.084
  270     0.493     0.322     0.185  6512.619  2715.462  3983.169
  271     0.300     0.313     0.386  8374.148   341.059  6255.373
  272     0.286     0.360     0.354  8277.896   720.350  6426.324
  273     0.586     0.336     0.077  4316.097  3989.945  2880.900
  274     0.400     0.207     0.393  7976.937   265.596  5081.444
  275     0.459     0.295     0.245  7197.025  2005.848  4379.933
  276     0.296     0.534     0.170  6520.227  2899.799  6302.921
  277     0.416     0.317     0.267  7474.304  1746.719  4889.271
  278     0.574     0.118     0.308  6626.141  1262.073  3025.600
  279     0.198     0.485     0.317  8170.469  1161.954  7460.518
  280     0.236     0.442     0.322  8172.492  1094.833  7017.990
  281     0.451     0.466     0.082  4585.658  3928.383  4476.314
  282     0.067     0.539     0.395  8612.500   244.167  9015.226
  283     0.544     0.445     0.011  1485.914  4766.346  3380.978
  284     0.591     0.052     0.357  5394.759   682.982  2831.801
  285     0.220     0.413     0.367  8453.869   566.011  7210.628
  286     0.620     0.285     0.095  4730.310  3775.381  2489.412
  287     0.315     0.514     0.171  6524.896  2887.055  6082.578
  288     0.137     0.487     0.376  8575.047   467.621  8181.112
  289     0.686     0.032     0.282  4105.054  1567.094  1706.026
  290     0.579     0.192     0.229  6606.367  2200.612  2963.248
  291     0.497     0.173     0.329  7353.590  1012.058  3936.210
  292     0.641     0.233     0.126  5276.956  3416.477  2231.857
  293     0.629     0.263     0.108  4985.633  3625.746  2380.741
  294     0.302     0.457     0.241  7428.881  2053.501  6235.149
  295     0.292     0.486     0.222  7232.028  2278.634  6351.766
  296     0.300     0.489     0.211  7093.821  2410.095  6262.865
  297     0.471     0.294     0.236  7088.472  2118.318  4246.114
  298     0.381     0.396     0.223  7143.648  2266.880  5304.326
  299     0.450     0.484     0.066  4074.967  4125.901  4487.205
  300     0.239     0.537     0.224  7287.865  2261.703  6975.932
  301     0.455     0.483     0.062  3952.326  4168.176  4431.348
  302     0.266     0.497     0.237  7417.089  2104.713  6662.933
  303     0.110     0.570     0.320  8222.506  1123.267  8508.687
  304     0.294     0.425     0.281  7798.855  1583.671  6328.486
  305     0.327     0.520     0.153  6232.027  3092.222  5945.468
  306     0.511     0.403     0.086  4628.783  3890.539  3769.671
  307     0.651     0.156     0.194  5956.093  2614.812  2121.789
  308     0.476     0.172     0.352  7487.521   749.286  4180.429
  309     0.225     0.434     0.341  8301.587   876.277  7143.834
  310     0.211     0.460     0.329  8241.818  1018.226  7309.548
  311     0.039     0.571     0.390  8380.882   299.661  9336.887
  312     0.586     0.148     0.266  6646.958  1755.904  2889.009
  313     0.434     0.414     0.152  6120.465  3106.135  4685.084
  314     0.429     0.252     0.319  7716.059  1137.766  4737.026
  315     0.561     0.401     0.039  2995.699  4444.046  3184.665
  316     0.596     0.201     0.203  6352.323  2509.849  2763.249
  317     0.342     0.437     0.222  7175.825  2286.288  5770.923
  318     0.105     0.528     0.367  8529.263   564.608  8561.013
  319     0.598     0.122     0.279  6475.224  1604.909  2739.104
  320     0.474     0.139     0.386  7375.454   340.716  4206.294
  321     0.470     0.296     0.234  7074.938  2139.978  4255.307
  322     0.377     0.340     0.283  7673.968  1564.042  5353.728
  323     0.667     0.168     0.165  5656.680  2949.169  1929.874
  324     0.530     0.301     0.170  6231.635  2899.556  3547.827
  325     0.217     0.547     0.236  7441.189  2114.956  7236.183
  326     0.643     0.286     0.071  4057.944  4063.337  2217.753
  327     0.361     0.387     0.252  7454.602  1929.769  5540.095
  328     0.357     0.404     0.239  7345.279  2074.228  5589.256
  329     0.498     0.473     0.029  2552.324  4562.408  3920.198
  330     0.305     0.510     0.185  6747.002  2716.598  6201.897
  331     0.455     0.420     0.125  5605.317  3422.818  4429.793
  332     0.684     0.142     0.175  5597.690  2839.985  1734.990
  333     0.321     0.493     0.186  6748.381  2705.122  6009.061
  334     0.480     0.375     0.145  5950.539  3185.269  4140.432
  335     0.531     0.426     0.043  3187.880  4395.404  3531.446
  336     0.468     0.188     0.344  7554.369   840.764  4273.567
  337     0.218     0.396     0.386  8542.967   348.739  7223.354
  338     0.403     0.214     0.383  7960.636   378.556  5045.170
  339     0.141     0.516     0.343  8383.540   849.153  8135.578
  340     0.165     0.537     0.298  8046.250  1388.350  7853.527
