IEVE  T1       T2       T3      W      XM212   XM223
  161     0.359     0.429     0.212 12337.005  5754.292  2822.728
  162     0.480     0.365     0.155 12337.005  6893.983   407.058
  163     0.297     0.205     0.498 12337.005    35.106  4061.096
  164     0.449     0.286     0.266 12337.005  4686.932  1025.178
  165     0.075     0.428     0.497 12337.005    62.128  8506.865
  166     0.283     0.255     0.461 12337.005   774.503  4333.982
  167     0.347     0.442     0.211 12337.005  5778.058  3059.628
  168     0.342     0.161     0.497 12337.005    51.905  3161.724
  169     0.317     0.362     0.321 12337.005  3577.830  3663.433
  170     0.484     0.215     0.301 12337.005  3976.146   322.483
  171     0.487     0.051     0.462 12337.005   763.964   263.658
  172     0.238     0.333     0.429 12337.005  1425.186  5232.947
  173     0.069     0.475     0.456 12337.005   875.573  8622.409
  174     0.109     0.404     0.487 12337.005   256.842  7824.101
  175     0.400     0.459     0.140 12337.005  7196.100  1991.887
  176     0.308     0.426     0.266 12337.005  4680.368  3843.447
  177     0.463     0.459     0.078 12337.005  8432.214   747.337
  178     0.330     0.390     0.280 12337.005  4400.312  3397.150
  179     0.121     0.498     0.382 12337.005  2366.279  7589.004
  180     0.286     0.348     0.366 12337.005  2681.563  4280.698
  181     0.358     0.204     0.438 12337.005  1233.981  2836.936
  182     0.423     0.250     0.327 12337.005  3469.229  1536.341
  183     0.074     0.488     0.438 12337.005  1238.639  8524.480
  184     0.484     0.153     0.363 12337.005  2742.317   321.230
  185     0.377     0.185     0.439 12337.005  1222.822  2469.123
  186     0.271     0.438     0.291 12337.005  4174.059  4583.008
  187     0.432     0.456     0.112 12337.005  7753.667  1360.672
  188     0.161     0.394     0.445 12337.005  1100.391  6780.030
  189     0.112     0.390     0.497 12337.005    51.972  7750.845
  190     0.333     0.475     0.191 12337.005  6173.625  3330.059
  191     0.410     0.294     0.296 12337.005  4082.604  1795.474
  192     0.393     0.386     0.221 12337.005  5572.375  2144.719
  193     0.486     0.471     0.043 12337.005  9143.173   271.782
  194     0.224     0.278     0.499 12337.005    24.964  5527.852
  195     0.447     0.216     0.337 12337.005  3266.792  1051.198
  196     0.244     0.308     0.448 12337.005  1041.283  5118.679
  197     0.262     0.317     0.421 12337.005  1573.847  4767.784
  198     0.382     0.459     0.159 12337.005  6825.435  2357.417
  199     0.207     0.412     0.381 12337.005  2381.785  5857.167
  200     0.307     0.325     0.368 12337.005  2635.621  3860.429
  201     0.314     0.217     0.469 12337.005   615.030  3725.196
  202     0.477     0.035     0.487 12337.005   250.355   456.235
  203     0.426     0.127     0.447 12337.005  1064.015  1479.668
  204     0.238     0.364     0.397 12337.005  2057.653  5231.666
  205     0.162     0.446     0.392 12337.005  2163.888  6751.636
  206     0.325     0.465     0.211 12337.005  5784.619  3509.597
  207     0.477     0.478     0.046 12337.005  9084.305   466.050
  208     0.253     0.349     0.398 12337.005  2049.493  4932.865
  209     0.223     0.447     0.330 12337.005  3400.358  5542.874
  210     0.474     0.152     0.373 12337.005  2535.962   512.662
  211     0.318     0.480     0.202 12337.005  5965.033  3632.237
  212     0.384     0.217     0.399 12337.005  2011.844  2326.558
  213     0.250     0.443     0.307 12337.005  3855.866  4997.452
  214     0.418     0.337     0.245 12337.005  5096.136  1648.690
  215     0.468     0.441     0.091 12337.005  8175.438   636.116
  216     0.458     0.289     0.253 12337.005  4946.929   837.614
  217     0.423     0.420     0.157 12337.005  6853.035  1541.152
  218     0.160     0.461     0.379 12337.005  2427.949  6796.669
  219     0.296     0.375     0.330 12337.005  3407.812  4082.906
  220     0.429     0.269     0.302 12337.005  3963.350  1414.050
  221     0.212     0.466     0.323 12337.005  3548.949  5768.884
  222     0.198     0.386     0.415 12337.005  1690.231  6038.201
  223     0.275     0.357     0.368 12337.005  2639.884  4494.074
  224     0.336     0.186     0.478 12337.005   449.548  3280.098
  225     0.455     0.450     0.095 12337.005  8106.088   892.947
  226     0.288     0.359     0.353 12337.005  2937.291  4240.080
  227     0.149     0.395     0.457 12337.005   862.718  7027.889
  228     0.156     0.487     0.357 12337.005  2869.358  6874.932
  229     0.216     0.375     0.409 12337.005  1824.150  5677.113
  230     0.180     0.446     0.375 12337.005  2506.439  6407.732
  231     0.499     0.492     0.009 12337.005  9810.302    27.299
  232     0.320     0.227     0.454 12337.005   925.787  3605.433
  233     0.482     0.074     0.444 12337.005  1113.542   357.888
  234     0.296     0.364     0.340 12337.005  3204.589  4083.729
  235     0.237     0.480     0.283 12337.005  4345.660  5255.865
  236     0.173     0.427     0.400 12337.005  2004.791  6534.490
  237     0.444     0.334     0.222 12337.005  5554.134  1128.181
  238     0.320     0.374     0.306 12337.005  3880.930  3605.038
  239     0.281     0.436     0.284 12337.005  4329.599  4386.366
  240     0.206     0.386     0.407 12337.005  1851.218  5872.008
  241     0.215     0.289     0.496 12337.005    71.654  5707.602
  242     0.343     0.436     0.221 12337.005  5582.188  3141.310
  243     0.229     0.293     0.478 12337.005   431.429  5428.346
  244     0.200     0.474     0.325 12337.005  3496.982  5990.012
  245     0.230     0.475     0.295 12337.005  4095.454  5404.022
  246     0.303     0.411     0.286 12337.005  4284.136  3939.505
  247     0.428     0.414     0.159 12337.005  6828.482  1446.946
  248     0.154     0.432     0.414 12337.005  1725.505  6924.395
  249     0.427     0.120     0.454 12337.005   925.023  1468.200
  250     0.346     0.290     0.363 12337.005  2736.218  3071.423
  251     0.466     0.207     0.328 12337.005  3444.678   685.336
  252     0.319     0.277     0.404 12337.005  1912.291  3625.934
  253     0.205     0.389     0.406 12337.005  1880.547  5896.646
  254     0.444     0.379     0.177 12337.005  6466.906  1110.270
  255     0.397     0.282     0.322 12337.005  3568.521  2063.857
  256     0.365     0.400     0.235 12337.005  5307.937  2699.362
  257     0.490     0.363     0.146 12337.005  7072.623   196.389
  258     0.427     0.487     0.086 12337.005  8274.978  1456.729
  259     0.157     0.490     0.353 12337.005  2947.135  6851.266
  260     0.285     0.308     0.407 12337.005  1855.100  4299.875
  261     0.384     0.272     0.344 12337.005  3127.165  2317.054
  262     0.172     0.467     0.361 12337.005  2774.498  6561.051
  263     0.252     0.320     0.428 12337.005  1440.457  4962.015
  264     0.378     0.484     0.138 12337.005  7236.240  2440.515
  265     0.481     0.175     0.343 12337.005  3133.979   371.856
  266     0.295     0.479     0.225 12337.005  5491.625  4097.270
  267     0.413     0.373     0.214 12337.005  5719.800  1740.736
  268     0.150     0.376     0.473 12337.005   533.291  6990.958
  269     0.330     0.184     0.486 12337.005   272.794  3407.363
  270     0.413     0.166     0.421 12337.005  1573.472  1747.298
  271     0.102     0.438     0.460 12337.005   791.872  7963.965
  272     0.420     0.419     0.161 12337.005  6781.185  1597.603
  273     0.215     0.444     0.341 12337.005  3188.755  5694.501
  274     0.342     0.329     0.329 12337.005  3410.596  3168.578
  275     0.351     0.309     0.339 12337.005  3215.444  2972.410
  276     0.453     0.114     0.433 12337.005  1331.173   948.891
  277     0.468     0.230     0.302 12337.005  3953.510   642.475
  278     0.370     0.447     0.183 12337.005  6335.734  2600.428
  279     0.121     0.434     0.445 12337.005  1098.165  7582.357
  280     0.477     0.458     0.065 12337.005  8699.556   457.327
  281     0.460     0.273     0.267 12337.005  4658.517   793.200
  282     0.374     0.286     0.340 12337.005  3206.278  2518.648
  283     0.174     0.448     0.377 12337.005  2453.547  6513.779
  284     0.276     0.444     0.280 12337.005  4400.254  4484.142
  285     0.376     0.289     0.335 12337.005  3305.322  2477.170
  286     0.449     0.276     0.274 12337.005  4510.316  1013.298
  287     0.468     0.417     0.115 12337.005  7693.079   638.337
  288     0.108     0.415     0.477 12337.005   459.525  7831.390
  289     0.187     0.493     0.319 12337.005  3615.365  6250.406
  290     0.279     0.437     0.284 12337.005  4321.677  4427.658
  291     0.032     0.491     0.478 12337.005   448.081  9367.263
  292     0.464     0.177     0.359 12337.005  2821.341   722.601
  293     0.403     0.098     0.499 12337.005    21.501  1935.409
  294     0.158     0.383     0.459 12337.005   824.305  6836.013
  295     0.250     0.309     0.441 12337.005  1187.654  5002.127
  296     0.317     0.297     0.386 12337.005  2279.480  3660.038
  297     0.354     0.481     0.166 12337.005  6683.546  2929.088
  298     0.350     0.468     0.182 12337.005  6359.512  2991.384
  299     0.296     0.402     0.302 12337.005  3954.387  4088.639
  300     0.378     0.377     0.245 12337.005  5095.562  2449.824
  301     0.332     0.356     0.312 12337.005  3752.302  3360.051
  302     0.295     0.376     0.329 12337.005  3423.999  4091.194
  303     0.237     0.266     0.497 12337.005    54.631  5265.799
  304     0.300     0.442     0.258 12337.005  4840.512  4007.521
  305     0.487     0.082     0.431 12337.005  1384.428   256.536
