%#LIBRARY    ENDF/B-VIII.0
%#REACTION   SI-28(N,TOT),SIG
%#NUCLEUS    Si-28
%#EN-MIN     1e-05
%#EN-MAX     1.5e+08
%#E,eV        Sig,b        Interpolation
e      sig
1.04258e+06        9.00749
1.04287e+06        11.4579
1.04308e+06        10.5591
1.04342e+06        7.10927
1.0437e+06        5.53812
1.04397e+06        4.79137
1.04428e+06        4.30754
1.04473e+06        3.97137
1.04527e+06        3.77454
1.04636e+06        3.60742
1.04813e+06        3.50341
1.05131e+06        3.41776
1.06159e+06        3.2617
1.07935e+06        3.03806
1.08268e+06        2.98476
1.08371e+06        2.95029
1.08417e+06        2.91853
1.08447e+06        2.87942
1.08468e+06        2.8242
1.0848e+06        2.76703
1.08491e+06        2.67553
1.08498e+06        2.56188
1.08503e+06        2.42617
1.08507e+06        2.25572
1.08511e+06        2.0164
1.08515e+06        1.91767
1.08518e+06        2.1652
1.08521e+06        2.71777
1.08527e+06        3.4487
1.08531e+06        3.56484
1.08535e+06        3.49425
1.08539e+06        3.40231
1.08545e+06        3.31964
1.08552e+06        3.2514
1.08563e+06        3.18765
1.08577e+06        3.13945
1.08601e+06        3.09387
1.08633e+06        3.06122
1.08688e+06        3.03036
1.08795e+06        2.99899
1.09196e+06        2.94236
1.11831e+06        2.67172
1.13708e+06        2.44593
1.14619e+06        2.27533
1.14756e+06        2.24215
1.1478e+06        2.23644
1.14789e+06        2.23427
1.14792e+06        2.23426
1.14794e+06        2.23663
1.14796e+06        2.23875
1.14797e+06        2.24134
1.14799e+06        2.25338
1.14801e+06        2.27646
1.14803e+06        2.33827
1.14808e+06        2.49929
1.14811e+06        2.52157
1.14816e+06        2.35469
1.14819e+06        2.26908
1.14821e+06        2.24198
1.14823e+06        2.23182
1.14824e+06        2.22432
1.14826e+06        2.22315
1.14828e+06        2.2222
1.14832e+06        2.2208
1.14842e+06        2.21748
1.14869e+06        2.20866
1.15033e+06        2.15488
1.15395e+06        1.99157
1.15679e+06        1.76511
1.15829e+06        1.55971
1.15956e+06        1.2916
1.16053e+06        1.00341
1.1614e+06        0.756606
1.16191e+06        0.788723
1.1624e+06        1.14854
1.163e+06        2.01353
1.16379e+06        2.88039
1.16481e+06        3.10137
1.16578e+06        3.01031
1.16723e+06        2.83019
1.16991e+06        2.58919
1.17421e+06        2.346
1.17921e+06        2.13882
1.18488e+06        1.93434
1.18905e+06        1.85368
1.19473e+06        2.20608
1.1989e+06        2.59346
1.2004e+06        2.91867
1.20189e+06        4.23839
1.2035e+06        5.00054
1.20516e+06        4.91975
1.20838e+06        4.40978
1.21172e+06        3.97288
1.21667e+06        3.52241
1.22406e+06        3.05985
1.23345e+06        2.56429
1.2404e+06        2.10469
1.24597e+06        1.59434
1.25127e+06        1.20727
1.25379e+06        1.36893
1.25796e+06        2.25005
1.26105e+06        2.92638
1.26218e+06        3.21088
1.26283e+06        3.50836
1.26326e+06        3.91338
1.26356e+06        4.47677
1.26383e+06        5.47386
1.26406e+06        7.15025
1.26437e+06        9.58884
1.26452e+06        9.24475
1.26484e+06        6.31286
1.26509e+06        4.88437
1.26533e+06        4.22059
1.26567e+06        3.77027
1.26617e+06        3.49455
1.26681e+06        3.36926
1.26812e+06        3.30353
1.27084e+06        3.2824
1.27538e+06        3.25647
1.2834e+06        3.17847
1.2965e+06        3.05023
1.32015e+06        2.87648
1.35224e+06        2.68908
1.37198e+06        2.56821
1.37631e+06        2.53824
1.37777e+06        2.52818
1.37848e+06        2.52331
1.37887e+06        2.52238
1.37916e+06        2.52639
1.37935e+06        2.53204
1.37949e+06        2.54414
1.37959e+06        2.56667
1.37965e+06        2.60012
1.3797e+06        2.66297
1.37975e+06        2.80025
1.37979e+06        3.09815
1.37982e+06        3.58993
1.37988e+06        4.46642
1.37991e+06        4.54133
1.37996e+06        3.8537
1.38001e+06        3.11074
1.38004e+06        2.82767
1.38008e+06        2.6763
1.38012e+06        2.60035
1.38018e+06        2.55353
1.38028e+06        2.52686
1.38042e+06        2.51225
1.38062e+06        2.50332
1.38087e+06        2.49826
1.38128e+06        2.49331
1.38201e+06        2.48464
1.3836e+06        2.46589
1.3875e+06        2.41981
1.39296e+06        2.33649
1.39717e+06        2.25235
1.40019e+06        2.19305
1.40216e+06        2.18986
1.40393e+06        2.3128
1.40518e+06        2.627
1.40653e+06        3.52721
1.40814e+06        5.50247
1.40908e+06        6.10731
1.4108e+06        5.48661
1.41267e+06        4.54934
1.41454e+06        3.98422
1.41704e+06        3.56742
1.41985e+06        3.30982
1.42338e+06        3.1233
1.42832e+06        2.97304
1.43639e+06        2.84133
1.45054e+06        2.72786
1.46168e+06        2.69197
1.46764e+06        2.71609
1.4709e+06        2.77274
1.47366e+06        2.9068
1.47541e+06        3.12942
1.47668e+06        3.48627
1.47794e+06        4.27006
1.47916e+06        5.74084
1.47988e+06        6.34433
1.48064e+06        5.81757
1.48193e+06        4.16192
1.4822e+06        3.92822
1.48224e+06        3.89201
1.48227e+06        3.8668
1.4823e+06        3.84646
1.48236e+06        3.8105
1.4824e+06        3.78534
1.48248e+06        3.73606
1.48251e+06        3.71323
1.48253e+06        3.69665
1.48256e+06        3.67852
1.48261e+06        3.6486
1.48292e+06        3.47387
1.48387e+06        3.12892
1.48512e+06        2.89227
1.48687e+06        2.73761
1.48958e+06        2.6322
1.49327e+06        2.57284
1.49986e+06        2.52976
1.50657e+06        2.51115
1.50962e+06        2.51725
1.51066e+06        2.53294
1.51117e+06        2.55363
1.51149e+06        2.5823
1.5117e+06        2.62288
1.51185e+06        2.67953
1.51195e+06        2.75234
1.51203e+06        2.86304
1.51208e+06        3.01778
1.51213e+06        3.30408
1.51217e+06        3.75779
1.51222e+06        4.64544
1.51228e+06        5.75345
1.51231e+06        5.65476
1.51236e+06        4.57031
1.51242e+06        3.1717
1.51246e+06        2.72488
1.5125e+06        2.53916
1.51255e+06        2.44778
1.51262e+06        2.41403
1.51272e+06        2.40833
1.51287e+06        2.41616
1.5131e+06        2.42797
1.51346e+06        2.44426
1.51411e+06        2.45868
1.51539e+06        2.47272
1.51876e+06        2.5034
1.52146e+06        2.55743
1.52361e+06        2.67419
1.52513e+06        2.90663
1.52607e+06        3.22977
1.52689e+06        3.7966
1.52809e+06        5.47947
1.52868e+06        6.0836
1.5292e+06        5.76582
1.5304e+06        4.08404
1.53139e+06        3.34002
1.5325e+06        2.95888
1.53373e+06        2.75774
1.53548e+06        2.61789
1.53777e+06        2.53443
1.54157e+06        2.47164
1.54771e+06        2.42539
1.55795e+06        2.38329
1.56637e+06        2.35699
1.57191e+06        2.35237
1.57476e+06        2.37666
1.57671e+06        2.45132
1.57784e+06        2.57633
1.57862e+06        2.78841
1.57922e+06        3.15317
1.57973e+06        3.83119
1.58032e+06        5.3295
1.58065e+06        5.7939
1.58098e+06        5.12127
1.58165e+06        3.4082
1.58207e+06        2.92541
1.58271e+06        2.59351
1.58372e+06        2.42339
1.58529e+06        2.39812
1.58832e+06        2.71549
1.59202e+06        3.92125
1.59471e+06        5.29942
1.59618e+06        6.86421
1.59722e+06        7.67762
1.59841e+06        6.82882
1.60001e+06        5.46612
1.60178e+06        4.74234
1.60379e+06        4.36493
1.60758e+06        4.09501
1.61268e+06        4.08433
1.61972e+06        4.40851
1.62706e+06        5.18263
1.63256e+06        6.13688
1.63731e+06        7.15018
1.63972e+06        7.46395
1.64136e+06        7.05884
1.64228e+06        6.10089
1.64345e+06        3.54735
1.64407e+06        2.43689
1.64455e+06        2.36823
1.64527e+06        3.33539
1.64652e+06        5.31112
1.64776e+06        6.436
1.64991e+06        7.17351
1.65185e+06        7.22398
1.6539e+06        6.94281
1.6553e+06        6.61517
1.65626e+06        6.32694
1.6569e+06        6.11453
1.65746e+06        5.94983
1.65791e+06        6.03858
1.65841e+06        6.7723
1.65874e+06        7.23397
1.65923e+06        7.17625
1.65982e+06        6.78823
1.66041e+06        6.45635
1.66123e+06        6.12488
1.66228e+06        5.78753
1.66333e+06        5.50418
1.6639e+06        5.36558
1.66425e+06        5.29453
1.66447e+06        5.28257
1.66462e+06        5.3373
1.66472e+06        5.47476
1.66479e+06        5.73662
1.66487e+06        6.46277
1.66497e+06        7.74684
1.66502e+06        7.8965
1.66514e+06        6.66991
1.66523e+06        5.98274
1.66531e+06        5.68102
1.66541e+06        5.45473
1.66556e+06        5.28594
1.66576e+06        5.16479
1.66609e+06        5.0447
1.66658e+06        4.91925
1.66751e+06        4.73524
1.66926e+06        4.44813
1.67286e+06        3.98002
1.68028e+06        3.33124
1.69054e+06        2.80914
1.70429e+06        2.42796
1.72382e+06        2.12368
1.7498e+06        1.8743
1.74988e+06        1.87365
1.74991e+06        1.87139
1.74995e+06        1.86716
1.75003e+06        1.85233
1.75012e+06        1.84359
1.76034e+06        1.85095
1.7765e+06        1.7696
1.78335e+06        1.86025
1.78511e+06        2.22083
1.78728e+06        1.71816
1.79156e+06        1.7202
1.80149e+06        1.85649
1.80348e+06        2.06662
1.80423e+06        2.22688
1.80582e+06        3.34072
1.8074e+06        2.02869
1.80843e+06        1.69149
1.81603e+06        1.9301
1.83211e+06        3.29821
1.8431e+06        6.31929
1.85066e+06        7.77219
1.86004e+06        7.08566
1.87582e+06        4.88457
1.8974e+06        2.68124
1.90874e+06        2.23674
1.92021e+06        4.3389
1.92805e+06        5.13925
1.93233e+06        4.13277
1.94999e+06        3.61702
1.96865e+06        4.83042
1.98239e+06        3.96374
1.9896e+06        3.62315
1.9973e+06        2.81692
2.01482e+06        2.35651
2.0328e+06        2.07064
2.04117e+06        1.31833
2.04443e+06        2.0382
2.05734e+06        2.0672
2.06212e+06        3.09076
2.064e+06        2.55108
2.0708e+06        1.84897
2.08035e+06        2.06351
2.08433e+06        3.49564
2.08687e+06        3.15581
2.09185e+06        4.43972
2.10229e+06        3.88607
2.1152e+06        5.0045
2.12e+06        4.63342
2.12829e+06        3.10574
2.1472e+06        2.61742
2.16768e+06        2.56216
2.1793e+06        2.70029
2.19692e+06        2.37467
2.21903e+06        2.59453
2.2286e+06        3.74444
2.23686e+06        2.40905
2.26097e+06        1.93507
2.27978e+06        2.93685
2.29404e+06        3.60709
2.31569e+06        2.58494
2.33728e+06        2.29352
2.35718e+06        2.37862
2.37047e+06        3.00967
2.37489e+06        3.97862
2.38327e+06        2.45094
2.40159e+06        2.1435
2.41805e+06        2.06634
2.43677e+06        1.93356
2.44713e+06        1.98184
2.45995e+06        3.61516
2.47701e+06        3.00493
2.49155e+06        3.91369
2.50132e+06        4.75554
2.51415e+06        3.27183
2.534e+06        3.07244
2.55915e+06        3.05125
2.58181e+06        2.88284
2.60594e+06        2.95474
2.6229e+06        2.73735
2.63836e+06        2.64539
2.6534e+06        2.64064
2.6597e+06        3.84645
2.66343e+06        3.3178
2.67618e+06        2.49465
2.69251e+06        2.52462
2.70899e+06        2.61293
2.72377e+06        2.37577
2.74241e+06        2.3089
2.76156e+06        2.27512
2.78187e+06        2.53377
2.8e+06        2.51216
2.82e+06        2.66742
2.84416e+06        3.46987
2.86806e+06        3.80442
2.88518e+06        2.57496
2.9034e+06        2.25351
2.91884e+06        2.0733
2.93537e+06        2.914
2.94508e+06        2.6724
2.96816e+06        1.67426
2.99329e+06        1.63512
3.01262e+06        2.81429
3.03431e+06        2.44408
3.05184e+06        2.24116
3.06317e+06        3.21712
3.06934e+06        2.04689
3.09595e+06        2.22432
3.10497e+06        2.84457
3.11402e+06        3.20418
3.12767e+06        2.48828
3.13835e+06        3.69732
3.15371e+06        2.86918
3.16762e+06        2.27385
3.17685e+06        2.23585
3.19967e+06        1.95606
3.21909e+06        2.25436
3.231e+06        3.21201
3.24302e+06        3.08359
3.26e+06        2.21715
3.28317e+06        2.30344
3.3e+06        2.11451
3.3267e+06        2.03144
3.35302e+06        2.24844
3.37638e+06        2.59137
3.39438e+06        2.16386
3.41773e+06        2.39409
3.43606e+06        2.63588
3.46163e+06        2.28035
3.48031e+06        2.10497
3.50186e+06        2.66329
3.52634e+06        2.30572
3.53775e+06        2.61309
3.54526e+06        2.29233
3.56585e+06        2.13597
3.59054e+06        1.90747
3.60545e+06        1.53632
3.62022e+06        1.2938
3.64308e+06        1.27151
3.67196e+06        1.36828
3.68604e+06        1.33333
3.7e+06        2.14241
3.71889e+06        1.39121
3.74569e+06        2.25364
3.76372e+06        2.3744
3.78796e+06        2.52103
3.8135e+06        2.23562
3.82527e+06        2.30648
3.83973e+06        2.59088
3.84706e+06        1.69311
3.86e+06        1.59039
3.8848e+06        1.76043
3.90742e+06        2.26298
3.93628e+06        2.52507
3.96222e+06        2.57195
3.98922e+06        2.119
4.01818e+06        2.2261
4.04e+06        2.65673
4.06686e+06        2.30346
4.08037e+06        2.55938
4.0938e+06        1.66226
4.10896e+06        1.93198
4.12506e+06        2.14269
4.14881e+06        1.71304
4.16932e+06        2.0445
4.18e+06        1.12705
4.19279e+06        1.74163
4.20939e+06        3.3049
4.22849e+06        3.3172
4.25314e+06        2.73143
4.27862e+06        2.7701
4.30433e+06        2.41094
4.33027e+06        2.30624
4.35426e+06        2.69043
4.37781e+06        2.04059
4.40824e+06        2.38992
4.43128e+06        2.35661
4.46227e+06        2.35073
4.49753e+06        2.67609
4.51796e+06        2.5683
4.53654e+06        2.90968
4.54988e+06        2.14801
4.56798e+06        2.30438
4.57943e+06        1.71318
4.60178e+06        1.97841
4.63871e+06        2.70822
4.66775e+06        2.89397
4.69916e+06        2.78638
4.71746e+06        2.48555
4.7289e+06        2.04299
4.74296e+06        3.11597
4.7774e+06        3.48369
4.79823e+06        2.75318
4.81638e+06        2.9382
4.83669e+06        2.02762
4.85078e+06        2.54433
4.86628e+06        3.39418
4.88728e+06        2.18764
4.90421e+06        2.52558
4.9305e+06        2.24075
4.96157e+06        2.43955
5e+06        2.60941
5.03781e+06        1.87892
5.06283e+06        2.15779
5.08409e+06        2.57999
5.11264e+06        2.63364
5.13422e+06        2.06613
5.15029e+06        3.06383
5.16643e+06        2.8013
5.2e+06        2.88757
5.22107e+06        2.27897
5.25577e+06        1.96366
5.29561e+06        1.75164
5.31734e+06        2.42136
5.35172e+06        1.43525
5.37304e+06        1.6455
5.40004e+06        1.81396
5.43022e+06        1.81781
5.44583e+06        1.15807
5.45658e+06        1.23195
5.47397e+06        1.80758
5.495e+06        1.98327
5.51e+06        2.41511
5.52832e+06        2.01698
5.57158e+06        2.44173
5.59887e+06        1.9064
5.62636e+06        2.08077
5.6468e+06        1.95303
5.67757e+06        2.31292
5.71008e+06        3.04493
5.75e+06        2.44738
5.79568e+06        2.5006
5.83046e+06        2.49748
5.86458e+06        3.05088
5.88815e+06        2.0186
5.91186e+06        1.92397
5.93977e+06        2.21989
5.95558e+06        1.59283
5.98084e+06        2.12455
6.02342e+06        2.27475
6.06028e+06        2.43234
6.11152e+06        1.72783
6.14133e+06        1.60647
6.2e+06        1.91898
6.2361e+06        2.53774
6.2725e+06        2.98862
6.29863e+06        2.94806
6.3248e+06        2.03455
6.3533e+06        2.02764
6.37335e+06        2.11799
6.4001e+06        1.82074
6.42e+06        2.1014
6.44892e+06        2.04938
6.46987e+06        1.61478
6.50234e+06        1.61164
6.55238e+06        1.52889
6.5926e+06        1.23838
6.64e+06        1.97382
6.6723e+06        2.31473
6.69e+06        2.5574
6.71981e+06        2.26959
6.75092e+06        2.17922
6.79372e+06        2.05898
6.83052e+06        1.95586
6.87508e+06        1.99675
6.93328e+06        1.61451
6.9519e+06        1.6599
7.00075e+06        1.83252
7.04225e+06        2.24238
7.0811e+06        2.10393
7.11896e+06        1.46812
7.1615e+06        1.82932
7.2159e+06        2.17318
7.2617e+06        2.12143
7.31018e+06        2.05328
7.36e+06        2.18873
7.41768e+06        2.09153
7.48e+06        1.9379
7.54387e+06        1.99647
7.61985e+06        1.96044
7.66e+06        2.20475
7.70771e+06        1.94838
7.76715e+06        2.17605
