%#LIBRARY    ENDF/B-VIII.0
%#REACTION   O-16(N,TOT),SIG
%#NUCLEUS    O-16
%#EN-MIN     1e-05
%#EN-MAX     1.5e+08
%#E,eV        Sig,b        Interpolation
e      sig
4.52338e+06        1.69171
4.52406e+06        1.84064
4.52488e+06        2.10786
4.52525e+06        2.26265
4.52619e+06        2.676
4.527e+06        2.97305
4.52725e+06        3.00062
4.52788e+06        3.02118
4.52812e+06        2.99275
4.529e+06        2.78034
4.53019e+06        2.44437
4.531e+06        2.25019
4.53188e+06        2.09278
4.5325e+06        2.00657
4.53325e+06        1.91762
4.5345e+06        1.80941
4.536e+06        1.71709
4.539e+06        1.60828
4.541e+06        1.56209
4.5435e+06        1.52017
4.547e+06        1.47875
4.555e+06        1.42108
4.565e+06        1.37776
4.58e+06        1.34296
4.58575e+06        1.35162
4.58725e+06        1.36103
4.5885e+06        1.37591
4.5895e+06        1.39508
4.591e+06        1.4473
4.592e+06        1.52414
4.59282e+06        1.66086
4.5931e+06        1.72604
4.5934e+06        1.84493
4.5937e+06        2.03651
4.59395e+06        2.28833
4.59418e+06        2.6267
4.5944e+06        3.09049
4.59465e+06        3.64447
4.59478e+06        3.8319
4.59488e+06        3.88684
4.59498e+06        3.84476
4.59508e+06        3.71315
4.59525e+06        3.345
4.59555e+06        2.67341
4.5957e+06        2.41484
4.5959e+06        2.15921
4.5961e+06        1.97783
4.5964e+06        1.80063
4.59685e+06        1.64909
4.59788e+06        1.4991
4.59988e+06        1.38846
4.6005e+06        1.37125
4.60225e+06        1.33568
4.605e+06        1.31
4.608e+06        1.29538
4.613e+06        1.29056
4.6175e+06        1.30495
4.6195e+06        1.3191
4.62188e+06        1.35123
4.62388e+06        1.40171
4.62588e+06        1.49339
4.62638e+06        1.52587
4.62738e+06        1.60869
4.628e+06        1.67612
4.62862e+06        1.75244
4.63038e+06        1.98924
4.63088e+06        2.0349
4.63112e+06        2.05015
4.6315e+06        2.05825
4.63194e+06        2.04395
4.63238e+06        2.00664
4.633e+06        1.92512
4.63438e+06        1.70433
4.63538e+06        1.56825
4.636e+06        1.50029
4.63662e+06        1.44446
4.63762e+06        1.37801
4.63825e+06        1.34742
4.64016e+06        1.27968
4.64516e+06        1.20194
4.6525e+06        1.16188
4.67e+06        1.11525
4.7e+06        1.05597
4.73e+06        1.00167
4.76e+06        0.961995
4.775e+06        0.964889
4.79e+06        1.01703
